FILENAME|OBS_ID|PROGRAM|OBS_NUM|VISIT|VISIT_ID|VISITGRP|VISITYPE|SEQ_ID|ACT_ID|EXPOSURE|EXP_TYPE|NEXPOSUR|EXPCOUNT|INSTRUME|DETECTOR|CHANNEL|TARGETID|TARGPROP|TARGNAME|TARGTYPE|TEMPLATE|PNTGTYPE|PNTG_SEQ|TARGORDN|EXPSPCIN|DITHPTIN|MOSTILNO|MODULE|FILTER|PUPIL|DITHERID|PATTTYPE|PATTSTRT|NUMDTHPT|PATTSIZE|SUBPXPTS|PATT_NUM|SUBPIXEL|APERNAME|SDP_VER|SUBARRAY|GRATING|FXD_SLIT|BAND|GWA_XTIL|GWA_YTIL|ASN_CANDIDATE|EXPOSERR|IS_PSF|IS_IMPRT|BKGDTARG|TSOVISIT|MSASTATE|MSAMETFL|OPMODE|LAMP|SPEC_NUM|SPAT_NUM|DMS_NOTE|EXSEGTOT|NINTS|NGROUPS
jw02722001001_02101_00001-seg001_nrs1_uncal.fits|V02722001001P0000000002101|2722|1|1|02722001001|2|PRIME_TARGETED_FIXED|1|01|1|NRS_WATA|3|1|NIRSPEC|NRS1|NULL|2|2MASSJ11301306+0735116|2MASSJ11301306+0735116|FIXED|NIRSpec Bright Object Time Series|TARGET_ACQUISITION|1|0|0|0|0|NULL|F140X|NULL|NULL|NULL|NULL|1|NULL|NULL|0|NULL|NRS_S1600A1_SLIT|2025_3a|SUB32|MIRROR|NULL|NULL|0.340489417|0.195451781|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|PRIMARYPARK_ALLCLOSED|NULL|BRIGHTOBJ|NONE|NULL|NULL|NULL|1|1|3
jw02722001001_02101_00002-seg001_nrs1_uncal.fits|V02722001001P0000000002101|2722|1|1|02722001001|2|PRIME_TARGETED_FIXED|1|01|2|NRS_TACONFIRM|3|1|NIRSPEC|NRS1|NULL|2|2MASSJ11301306+0735116|2MASSJ11301306+0735116|FIXED|NIRSpec Bright Object Time Series|TARGET_ACQUISITION|1|0|0|0|0|NULL|F140X|NULL|NULL|NULL|NULL|1|NULL|NULL|0|NULL|NRS_S1600A1_SLIT|2025_3a|SUB32|MIRROR|NULL|NULL|0.340489417|0.195451781|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|PRIMARYPARK_ALLCLOSED|NULL|BRIGHTOBJ|NONE|NULL|NULL|NULL|1|1|3
jw02722001001_04102_00001-seg001_nrs1_uncal.fits|V02722001001P0000000004102|2722|1|1|02722001001|4|PRIME_TARGETED_FIXED|1|02|1|NRS_BRIGHTOBJ|3|3|NIRSPEC|NRS1|NULL|1|K2-18|K2-18|FIXED|NIRSpec Bright Object Time Series|SCIENCE|2|1|1|1|1|NULL|F290LP|NULL|NULL|NONE|NULL|1|NULL|1|1|NULL|NRS_S1600A1_SLIT|2025_3a|SUB2048|G395H|S1600A1|NULL|0.317609161|0.144444525|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|PRIMARYPARK_ALLCLOSED|NULL|BRIGHTOBJ|NONE|1|1|NULL|2|1625|12
jw02722001001_04102_00001-seg001_nrs2_uncal.fits|V02722001001P0000000004102|2722|1|1|02722001001|4|PRIME_TARGETED_FIXED|1|02|1|NRS_BRIGHTOBJ|3|3|NIRSPEC|NRS2|NULL|1|K2-18|K2-18|FIXED|NIRSpec Bright Object Time Series|SCIENCE|2|1|1|1|1|NULL|F290LP|NULL|NULL|NONE|NULL|1|NULL|1|1|NULL|NRS_S1600A1_SLIT|2025_3a|SUB2048|G395H|S1600A1|NULL|0.317609161|0.144444525|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|PRIMARYPARK_ALLCLOSED|NULL|BRIGHTOBJ|NONE|1|1|NULL|2|1625|12
jw02722001001_04102_00001-seg002_nrs1_uncal.fits|V02722001001P0000000004102|2722|1|1|02722001001|4|PRIME_TARGETED_FIXED|1|02|1|NRS_BRIGHTOBJ|3|3|NIRSPEC|NRS1|NULL|1|K2-18|K2-18|FIXED|NIRSpec Bright Object Time Series|SCIENCE|2|1|1|1|1|NULL|F290LP|NULL|NULL|NONE|NULL|1|NULL|1|1|NULL|NRS_S1600A1_SLIT|2025_3a|SUB2048|G395H|S1600A1|NULL|0.317609161|0.144444525|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|PRIMARYPARK_ALLCLOSED|NULL|BRIGHTOBJ|NONE|1|1|NULL|2|1625|12
jw02722001001_04102_00001-seg002_nrs2_uncal.fits|V02722001001P0000000004102|2722|1|1|02722001001|4|PRIME_TARGETED_FIXED|1|02|1|NRS_BRIGHTOBJ|3|3|NIRSPEC|NRS2|NULL|1|K2-18|K2-18|FIXED|NIRSpec Bright Object Time Series|SCIENCE|2|1|1|1|1|NULL|F290LP|NULL|NULL|NONE|NULL|1|NULL|1|1|NULL|NRS_S1600A1_SLIT|2025_3a|SUB2048|G395H|S1600A1|NULL|0.317609161|0.144444525|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|T|PRIMARYPARK_ALLCLOSED|NULL|BRIGHTOBJ|NONE|1|1|NULL|2|1625|12
jw02722002001_02101_00001-seg001_mirimage_uncal.fits|V02722002001P0000000002101|2722|2|1|02722002001|2|PRIME_TARGETED_FIXED|1|01|1|MIR_TACQ|4|1|MIRI|MIRIMAGE|NULL|1|K2-18|K2-18|FIXED|MIRI Low Resolution Spectroscopy|TARGET_ACQUISITION|1|0|0|0|0|NULL|F560W|NULL|NULL|NONE|NULL|1|NULL|NULL|0|NULL|MIRIM_TASLITLESSPRISM|2025_3a|SLITLESSPRISM|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|OFF|NULL|NULL|NULL|1|1|4
jw02722002001_04102_00001-seg001_mirimage_uncal.fits|V02722002001P0000000004102|2722|2|1|02722002001|4|PRIME_TARGETED_FIXED|1|02|1|MIR_TACONFIRM|4|2|MIRI|MIRIMAGE|NULL|1|K2-18|K2-18|FIXED|MIRI Low Resolution Spectroscopy|SCIENCE|2|1|1|1|1|NULL|F560W|NULL|NULL|NONE|NULL|1|NULL|NULL|1|NULL|MIRIM_SLITLESSPRISM|2025_3a|SLITLESSPRISM|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|OFF|NULL|NULL|NULL|1|1|4
jw02722002001_04103_00001-seg001_mirimage_uncal.fits|V02722002001P0000000004103|2722|2|1|02722002001|4|PRIME_TARGETED_FIXED|1|03|1|MIR_LRS-SLITLESS|4|3|MIRI|MIRIMAGE|NULL|1|K2-18|K2-18|FIXED|MIRI Low Resolution Spectroscopy|SCIENCE|3|1|2|1|1|NULL|P750L|NULL|NULL|NONE|NULL|1|NULL|NULL|1|NULL|MIRIM_SLITLESSPRISM|2025_3a|SLITLESSPRISM|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|OFF|NULL|NULL|NULL|7|5095|25
jw02722002001_04103_00001-seg002_mirimage_uncal.fits|V02722002001P0000000004103|2722|2|1|02722002001|4|PRIME_TARGETED_FIXED|1|03|1|MIR_LRS-SLITLESS|4|3|MIRI|MIRIMAGE|NULL|1|K2-18|K2-18|FIXED|MIRI Low Resolution Spectroscopy|SCIENCE|3|1|2|1|1|NULL|P750L|NULL|NULL|NONE|NULL|1|NULL|NULL|1|NULL|MIRIM_SLITLESSPRISM|2025_3a|SLITLESSPRISM|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|OFF|NULL|NULL|NULL|7|5095|25
